61216,766156,138
61217,337188,86
70414,964362,22
70415,935616,62
17611,1255310,59
70413,189075,40
83707,51237,9
70421,2753747,60
70420,347427,31
70419,1007845,69
70416,1567823,64
30601,937659,47
17625,348825,92
70430,266145,28
70429,290884,60
70428,175688,29
70427,336241,24
70425,973953,33
65074,2128376,141
52579,1895038,51
26249,841905,68
4354,157607,29
56384,15690608,91
4353,122787,18
4352,30885,0
35255,509801,18
4366,2952686,71
61214,700548,41
66170,658763,53
35277,2984182,62
66174,1531170,74
17544,463994,64
39142,245671,24
13060,1556018,36
70482,1004410,67
87,33704,15
35283,21395,30
43952,19134661,172
13058,14455421,88
70491,4236486,128
70493,5672269,164
70492,4828055,58
65143,1687909,114
26304,1968732,91
61251,2913742,78
73764,3031667,42
35313,936518,16
126,3012227,60
125,2270394,64
65128,1090295,119
65130,1238645,124
47707,2438944,39
47705,321297,75
78314,560936,62
35084,926246,14
70537,225213,55
70536,514128,63
131,2584995,90
66222,1458889,51
35097,466234,15
35096,1096841,88
66219,872490,122
35101,7878321,80
144,1781744,106
35090,3247196,98
146,2348950,105
147,4530742,171
78322,1324612,84
35095,901493,47
56550,6721891,122
56548,1441757,101
56549,2344496,144
73983,1656380,137
73982,6883140,96
35104,220672,25
56528,1937100,76
65204,625108,96
43846,425519,76
43847,539153,52
73964,1153711,69
35131,345935,40
66190,685512,116
56523,2360038,135
56524,2859184,61
66185,2415678,154
56526,2528297,117
35134,1489042,41
43870,3742746,141
56527,974672,54
35123,15168122,85
70578,83305,1
61335,63821,3
65247,668478,109
73875,3112828,116
13206,4687044,122
73879,9695627,167
4593,343804,65
13200,3308373,57
21801,517003,51
17433,5489796,66
4585,117212,22
66285,2201951,80
26231,14817267,76
52628,1491634,109
208,146722,89
35183,66346,5
8843,69190,25
73905,1053611,97
73907,3138615,124
30580,205553,56
47670,151558,6
30576,7240637,122
73910,3281690,128
30577,7976238,151
70649,1394918,63
70651,912533,69
17464,556178,54
35189,465800,40
35190,1211692,50
35187,78131,7
83943,1174857,79
21729,1670821,51
70161,1431422,48
21737,1601543,76
83945,1754085,57
83946,569993,76
70149,2086036,141
74070,2917632,136
66358,4908409,56
257,76894,68
4148,997680,58
4149,1765520,57
267,985354,92
4152,887453,109
9064,1847814,120
70158,109291,63
12895,4851694,55
269,1220473,106
12896,749761,38
307,129289,30
306,226245,38
308,258039,79
74094,1450102,108
74091,7155156,118
4108,4406216,119
83913,668570,55
9054,1346851,120
4110,2559741,83
12913,917902,20
60931,1107782,74
74098,2816164,110
66321,1907864,37
83929,5065372,74
70184,1636922,104
21726,1454941,74
9015,947799,43
66402,663947,76
52240,267224,56
35037,2070330,55
48013,96918,8
349,411502,38
66413,829407,43
73999,664566,85
65355,354231,39
73998,142267,39
61026,827976,83
74007,1467150,100
334,1474163,57
30429,1078799,79
61039,222283,96
26602,1528296,90
65370,376562,54
61013,1076691,89
61012,1022538,73
61011,1450525,111
61009,1612302,107
61008,591806,79
8988,1846596,44
66378,1072745,133
8985,824548,49
65387,1830344,88
8986,581150,55
52280,638390,53
74034,672622,99
