87,33704
125,2270394
126,3012227
131,2584995
144,1781744
146,2348950
147,4530742
208,146722
257,76894
267,985354
269,1220473
306,226245
307,129289
308,258039
334,1474163
349,411502
361,1120722
363,567244
411,3111600
412,1618280
413,1128539
414,3658794
415,1411814
416,972428
417,1306382
418,1905845
450,716515
455,4759218
586,1001637
587,631319
591,1374189
594,1513209
607,845300
608,264246
617,641563
629,623288
664,45471
701,732963
706,576855
710,337274
713,1095962
715,571734
717,1464692
720,337750
721,1013772
787,314120
993,945978
999,2118347
1002,1774040
1005,1067012
1104,71237
1136,1779627
1151,912551
1222,642469
1255,100149
1270,226316
2130,912346
2174,2816584
2175,1526026
2245,719180
2325,2219387
2370,1
2424,1663748
2495,381425
2506,245109
2561,9428
2566,1342061
2650,1417309
2708,1106612
2709,346248
2710,465398
2711,59553
2722,833849
2731,992995
2739,3125126
2769,427924
2784,1398667
3001,2639322
3032,431645
3072,3654278
3113,10974
3133,1304913
3167,8925795
3228,1012382
3246,829833
3255,916188
3359,1287340
3369,476140
3646,1838367
3658,697352
3659,848541
3660,354161
3661,766212
3978,4717367
4035,1442764
4077,2441602
4108,4406216
4110,2559741
4148,997680
4149,1765520
4152,887453
4190,4171920
4301,308857
4326,734057
4328,15341301
4329,269927
4352,30885
4353,122787
4354,157607
4366,2952686
4585,117212
4593,343804
4624,3672042
4685,555589
4688,547602
4689,1032023
4691,252358
4693,2042125
4939,1032116
4991,339875
5010,200623
5011,68387
5243,152350
5319,1421925
5360,1696522
5468,597376
5471,635234
5800,5233296
5801,2502010
5802,2864074
5875,1016402
5906,59163
5909,95961
5914,62378
5982,526485
5985,985552
6048,18471801
6093,308207
6096,1367801
6104,1638891
6124,3035759
6359,1802828
6463,7096548
6476,1105462
6554,1329180
6568,1354570
6601,3806565
6669,3085121
6673,685775
6744,2632438
6823,1794079
6837,1205700
6838,1227716
6864,375773
6866,673273
6870,1405398
6885,1069062
6900,4748669
7078,983348
7143,3235037
7622,1457238
7623,7446455
7651,1913422
7675,372712
7692,7318782
7700,780156
7726,154306
7727,636767
7780,2306796
7841,874851
7893,931723
7908,2495898
7933,7840356
8156,2411193
8214,2102668
8241,310804
8257,332190
8263,122375
8309,201119
8322,462630
8523,341568
8532,3707652
8564,1900032
8620,1458515
8653,754793
8688,3015975
8843,69190
8985,824548
8986,581150
8988,1846596
9015,947799
9054,1346851
9064,1847814
9098,81770
9099,81729
9100,81769
9375,1791694
9382,7527312
9425,4294106
9610,19839924
9614,3841281
9628,15516366
9629,3469731
9630,158697
9635,1130936
9739,5585589
9754,1735713
9762,1859999
9766,69473
9781,1374111
9881,3179261
9908,674941
9913,102070
9917,220410
9922,392183
9939,193587
9971,1934644
9987,1493611
9989,1257227
9990,601419
9999,6430680
10019,4673557
10073,1597705
10132,499711
10133,2208828
10153,1697091
10177,1802025
10179,1352044
10192,2502679
10195,1351589
10202,850429
10203,4904783
10204,83173
10205,6009160
10212,2128717
10213,5617068
10221,1446375
10228,369895
10238,3013831
10242,5793933
10253,1994235
10259,897957
10264,1327317
10265,591383
10267,5757174
10318,641950
10498,1342571
10521,1296821
10535,318596
10536,376123
10549,1760113
10587,925015
10758,7466015
10802,9363981
10869,31784
10894,1203835
10897,1402435
10907,233690
10981,9300173
11027,1988194
11029,139617
11033,1954258
11034,91870
11113,1210668
11117,1552524
11118,1941210
11123,2395723
11125,3757316
11204,3124880
11260,637840
11291,2310404
11371,1188386
11559,599641
11644,488396
11699,177537
11906,1341955
11907,1665850
11908,920130
11909,1327930
11910,1247695
11911,704246
11912,202221
11913,3426075
11951,1045967
12033,978538
12144,1343704
12171,2680395
12279,8996700
12395,243845
12427,382779
12472,656567
12477,667760
12497,4895485
12498,9384320
12499,9427197
12520,1564260
12522,799397
12523,959065
12524,324147
12525,1013232
12793,2144885
12855,2991797
12895,4851694
12896,749761
12913,917902
12930,417405
13058,14455421
13060,1556018
13200,3308373
13206,4687044
13456,4901745
13594,5568290
13602,4361680
13792,90063
13813,83621
13924,2733341
13929,710122
13933,1021946
13938,1729803
13960,1058606
13989,1687090
13991,782545
13995,1030866
14000,15317521
14040,3012286
14042,127708
14050,4303242
14302,1329153
14312,545017
14322,12774702
14326,1005374
14674,61873
14675,154376
14678,299845
14682,3951843
14885,1047169
14934,93057
15320,2616088
15507,855269
15567,69447
15569,153984
16363,933115
16389,419319
16455,626117
16517,3311246
16530,1282670
16539,340943
16729,3498579
16743,52609
16747,186868
16749,403480
16788,3792044
16817,5671826
16820,1574177
16930,4828933
16940,455266
16950,1765107
16993,798355
17012,1575131
17037,5370280
17203,505363
17320,154423
17399,75296
17402,150178
17433,5489796
17464,556178
17544,463994
17611,1255310
17625,348825
17742,453025
17791,262853
17830,1215187
18083,71813
18148,942950
18252,1749439
18267,1232217
18283,542289
18285,531200
18286,80144
18301,449072
18338,81284
18410,2360853
18732,571738
18736,1643935
18740,982114
18741,437129
18745,981748
18748,295962
18753,3730672
18780,422833
18783,6686513
18793,861784
18798,1046031
18819,1516931
19183,1521992
19190,2058357
19191,467951
19199,1175443
19200,1450385
19431,1874282
19439,572593
19561,2637545
19593,698215
19654,434163
19707,576967
19783,15480364
20015,83835
20030,272765
20287,773281
20426,709691
20476,2648401
20588,122881
20590,1761348
20624,2885184
20818,15918161
20871,4588894
21149,492979
21150,312287
21156,695156
21158,2619171
21245,987584
21251,149825
21252,1369686
21253,382478
21254,82940
21258,1440857
21259,94466
21432,1351182
21533,8477371
21536,848769
21649,2493491
21656,3604943
21726,1454941
21729,1670821
21737,1601543
