61216,766156,114,12,12
61217,337188,61,12,13
70414,964362,13,4,5
70415,935616,31,15,16
17611,1255310,34,13,12
70413,189075,32,4,4
83707,51237,5,2,2
70421,2753747,42,9,9
70420,347427,17,7,7
70419,1007845,45,12,12
70416,1567823,42,12,10
30601,937659,25,11,11
17625,348825,64,14,14
70430,266145,14,7,7
70429,290884,42,9,9
70428,175688,19,5,5
70427,336241,16,4,4
70425,973953,17,8,8
65074,2128376,93,24,24
52579,1895038,23,14,14
26249,841905,32,18,18
4354,157607,24,3,2
56384,15690608,46,23,22
4353,122787,18,0,0
4352,30885,0,0,0
35255,509801,8,5,5
4366,2952686,31,20,20
61214,700548,35,3,3
66170,658763,28,12,13
35277,2984182,35,18,9
66174,1531170,51,12,11
17544,463994,51,6,7
39142,245671,10,7,7
13060,1556018,21,8,7
70482,1004410,43,13,11
87,33704,15,0,0
35283,21395,29,0,1
43952,19134661,107,33,32
13058,14455421,44,22,22
70491,4236486,95,17,16
70493,5672269,105,30,29
70492,4828055,52,3,3
65143,1687909,77,19,18
26304,1968732,60,16,15
61251,2913742,40,21,17
73764,3031667,24,9,9
35313,936518,12,2,2
126,3012227,23,18,19
125,2270394,24,20,20
65128,1090295,93,13,13
65130,1238645,101,12,11
47707,2438944,23,7,9
47705,321297,62,6,7
78314,560936,44,9,9
35084,926246,10,2,2
70537,225213,43,6,6
70536,514128,43,10,10
131,2584995,48,21,21
66222,1458889,40,5,6
35097,466234,5,5,5
35096,1096841,62,13,13
66219,872490,112,5,5
35101,7878321,48,16,16
144,1781744,65,20,21
35090,3247196,69,14,15
146,2348950,84,11,10
147,4530742,93,38,40
78322,1324612,55,16,13
35095,901493,25,11,11
56550,6721891,58,33,31
56548,1441757,78,11,12
56549,2344496,108,18,18
73983,1656380,94,20,23
73982,6883140,51,24,21
35104,220672,23,1,1
56528,1937100,44,17,15
65204,625108,69,14,13
43846,425519,59,9,8
43847,539153,40,6,6
73964,1153711,47,11,11
35131,345935,28,6,6
66190,685512,82,17,17
56523,2360038,91,24,20
56524,2859184,45,8,8
66185,2415678,110,23,21
56526,2528297,89,14,14
35134,1489042,23,9,9
43870,3742746,107,17,17
56527,974672,38,9,7
35123,15168122,43,21,21
70578,83305,1,0,0
61335,63821,3,0,0
65247,668478,83,13,13
73875,3112828,73,22,21
13206,4687044,82,20,20
73879,9695627,105,32,30
4593,343804,52,6,7
13200,3308373,28,15,14
21801,517003,33,9,9
17433,5489796,56,5,5
4585,117212,16,2,4
66285,2201951,62,8,10
26231,14817267,38,19,19
52628,1491634,84,12,13
208,146722,72,8,9
35183,66346,5,0,0
8843,69190,25,0,0
73905,1053611,80,9,8
73907,3138615,77,23,24
30580,205553,40,6,10
47670,151558,2,2,2
30576,7240637,80,21,21
73910,3281690,78,26,24
30577,7976238,76,38,37
70649,1394918,38,12,13
70651,912533,47,13,9
17464,556178,43,6,5
35189,465800,19,12,9
35190,1211692,32,9,9
35187,78131,3,2,2
83943,1174857,46,17,16
21729,1670821,37,7,7
70161,1431422,26,10,12
21737,1601543,40,17,19
83945,1754085,41,8,8
83946,569993,61,8,7
70149,2086036,100,20,21
74070,2917632,84,26,26
66358,4908409,29,14,13
257,76894,56,5,7
4148,997680,39,10,9
4149,1765520,41,9,7
267,985354,67,12,13
4152,887453,61,23,25
9064,1847814,92,15,13
70158,109291,56,3,4
12895,4851694,49,3,3
269,1220473,82,12,12
12896,749761,32,3,3
307,129289,23,4,3
306,226245,31,3,4
308,258039,60,9,10
74094,1450102,70,18,20
74091,7155156,78,20,20
4108,4406216,58,31,30
83913,668570,37,9,9
9054,1346851,72,24,24
4110,2559741,35,24,24
12913,917902,9,6,5
60931,1107782,53,10,11
74098,2816164,71,18,21
66321,1907864,27,5,5
83929,5065372,36,19,19
70184,1636922,62,21,21
21726,1454941,50,12,12
9015,947799,35,4,4
66402,663947,54,10,12
52240,267224,39,8,9
35037,2070330,23,16,16
48013,96918,6,1,1
349,411502,23,8,7
66413,829407,25,9,9
73999,664566,64,11,10
65355,354231,25,7,7
73998,142267,32,3,4
61026,827976,65,9,9
74007,1467150,67,14,19
334,1474163,38,10,9
30429,1078799,65,7,7
61039,222283,84,6,6
26602,1528296,34,27,29
65370,376562,47,4,3
61013,1076691,62,11,16
61012,1022538,56,8,9
61011,1450525,77,18,16
61009,1612302,64,22,21
61008,591806,59,10,10
8988,1846596,23,10,11
66378,1072745,89,22,22
8985,824548,25,12,12
65387,1830344,65,12,11
8986,581150,36,9,10
52280,638390,38,7,8
74034,672622,73,13,13
12855,2991797,61,17,22
17830,1215187,22,10,10
21649,2493491,22,8,8
65395,752627,16,4,4
43649,231858,19,2,2
30461,81591,12,1,3
61007,835496,24,11,11
70251,1091755,81,17,18
4190,4171920,65,15,15
30462,81590,12,2,3
21656,3604943,15,8,8
361,1120722,50,10,11
61003,603388,47,6,6
363,567244,70,11,12
411,3111600,78,17,19
83822,502288,88,15,16
414,3658794,96,33,31
415,1411814,47,11,9
34847,3605234,15,8,8
412,1618280,89,14,15
34846,65299,1,0,0
413,1128539,40,13,12
132606,124311,7,2,2
52432,31436,48,12,13
66469,779813,56,17,18
74176,731738,81,10,9
61111,729630,56,11,12
70287,42918,32,1,1
52426,326208,43,7,8
17742,453025,35,5,5
52429,189233,37,5,5
52430,230818,53,9,9
74197,19870485,89,36,33
83825,22020,2,0,0
74192,1838947,46,15,14
74216,3173012,54,15,15
17791,262853,25,10,11
61084,4992027,36,19,19
34867,783321,16,5,5
74215,19153378,88,33,35
78036,787730,20,10,10
61072,417414,19,9,9
47975,119520,9,1,1
74211,5770407,70,19,18
30244,1605007,66,12,12
47974,836534,21,7,7
34868,681750,19,5,5
34859,130280,17,0,0
47995,299064,22,6,6
61064,60953,10,0,0
61068,122093,3,0,0
417,1306382,93,12,11
416,972428,39,4,4
47987,180069,15,1,1
70309,1561561,87,17,18
418,1905845,79,10,10
66536,1424003,77,16,18
30283,286828,43,9,8
4328,15341301,42,17,19
4329,269927,47,6,6
74112,3943439,54,26,22
4326,734057,41,17,17
61173,1801446,42,18,16
39270,1079186,84,9,7
12930,417405,32,12,10
21536,848769,34,4,4
74137,2353710,114,18,18
30303,1613167,47,13,13
34894,1659500,44,11,10
47902,4922299,33,13,13
74138,1680713,82,21,21
34895,365618,42,8,8
47903,3011059,23,17,17
455,4759218,60,17,18
39284,81591,12,1,3
39285,81729,12,1,3
450,716515,39,6,6
39281,81729,12,1,3
39282,81729,12,1,3
39283,81729,12,1,3
4301,308857,54,6,6
74156,15968425,115,24,23
39241,322803,27,5,6
52408,1160124,82,20,19
83715,314479,8,1,1
83714,56819,8,0,0
74151,1259515,59,12,13
47906,15660366,48,23,26
47905,9539125,73,25,24
47904,7076928,82,19,19
74170,4452383,96,26,25
21533,8477371,51,32,32
9100,81769,12,1,3
74174,2810932,79,21,19
83740,1270787,38,11,10
9099,81729,12,1,3
9098,81770,12,1,1
47929,2051543,106,18,17
65528,1251830,39,10,10
65526,6890408,58,25,25
65523,37230,6,0,0
83735,424040,49,7,7
25735,921063,25,7,7
8263,122375,2,0,0
22485,444439,47,11,13
18148,942950,46,26,26
74358,470080,54,10,9
30129,2545602,30,20,20
8257,332190,12,2,4
60675,116948,16,3,4
64549,402238,52,6,6
64548,781586,16,7,5
64550,336608,44,13,12
64545,1829477,89,18,19
69940,239973,34,9,9
64547,1876057,56,11,13
69943,795643,83,26,26
53117,4863539,54,2,3
53116,1329678,43,7,7
69944,543916,31,12,12
39561,612213,48,9,8
53115,4371379,107,38,42
53114,5566631,69,19,18
53065,699273,35,4,4
8309,201119,9,3,4
83180,520021,16,12,12
83181,84727,11,3,3
60728,231369,14,7,7
18083,71813,1,0,0
608,264246,38,9,9
56852,3666851,16,12,12
60740,62622,2,0,0
617,641563,47,12,11
35823,1804286,15,5,4
69994,997340,24,9,12
64611,2984663,86,28,28
8214,2102668,44,23,23
629,623288,41,12,10
4939,1032116,48,1,3
30187,129442,25,5,5
39665,665340,27,12,13
39664,1412227,62,14,17
43424,565971,65,15,17
74256,70745,2,0,0
586,1001637,19,8,8
587,631319,75,9,9
53004,754166,24,5,5
4991,339875,33,5,5
591,1374189,94,16,16
8241,310804,13,2,2
594,1513209,67,22,20
60795,510571,9,8,9
39656,698701,43,5,6
607,845300,39,9,9
64588,4181761,56,27,27
35630,927046,58,11,11
65690,3509162,99,22,22
12793,2144885,61,21,20
65681,2920908,73,23,24
65680,2758095,66,21,23
5011,68387,4,2,1
5010,200623,3,3,3
65684,7352034,66,29,27
64690,1130571,107,8,8
65686,2283711,31,5,3
60829,551120,71,9,8
60830,1453152,42,9,8
701,732963,78,17,17
60825,1326592,85,19,19
60827,1287879,35,12,11
74464,4662779,62,18,19
60820,1963721,93,13,12
65666,2991644,86,12,12
65667,993705,84,17,16
65670,6735929,55,17,18
35594,1470842,59,12,14
35584,340504,17,2,2
70021,1705584,46,18,20
35585,89105,10,1,1
35611,3295359,68,23,23
664,45471,3,0,0
35608,15092239,41,20,20
70034,2905843,47,8,8
35606,675099,19,4,4
65758,239609,44,6,6
35692,667461,55,16,15
35693,2851600,44,8,8
65749,678921,66,6,8
74420,3531844,85,25,25
8322,462630,18,8,9
70119,9480676,66,27,23
74422,1525928,112,9,7
74417,1159508,59,12,12
74416,1657878,91,15,15
74419,1746650,81,15,17
35705,3229400,26,4,4
60888,97006,76,6,7
56971,18716,0,0,0
70138,3391392,92,22,22
25683,1126200,54,6,6
25682,2880616,87,30,31
25686,976867,53,11,12
35703,6732102,59,25,25
25685,946646,49,15,14
25684,991005,75,11,10
713,1095962,82,15,15
715,571734,80,13,14
717,1464692,70,20,21
35663,7041690,63,31,31
35648,1041897,53,16,15
706,576855,71,11,9
35655,310040,3,1,1
35652,1104462,53,13,14
710,337274,49,9,9
25722,2916260,36,9,9
70105,454536,33,7,7
720,337750,72,9,10
35666,522925,69,6,7
721,1013772,31,14,15
35670,15716471,48,21,23
70097,1050773,53,8,9
8532,3707652,75,12,11
22215,1795333,15,4,4
22211,9562942,69,28,27
35512,1759193,47,14,14
12395,243845,13,4,5
69692,956535,13,8,7
4624,3672042,15,8,9
43203,446412,50,10,10
29885,368035,15,10,9
35500,6752595,58,24,24
8523,341568,12,0,0
18410,2360853,34,19,15
22245,181533,21,4,5
8564,1900032,63,24,24
787,314120,3,0,1
60464,1476152,23,11,10
35460,2503218,23,10,7
35464,137450,22,4,4
26025,1271426,76,15,14
136749,966168,50,11,11
64865,2026871,34,30,30
136750,823432,48,8,7
35575,1917772,60,14,19
35576,1348174,44,7,7
35582,617575,36,10,12
4685,555589,91,9,9
39887,3522404,36,31,31
47535,19403488,82,32,29
39884,7459413,83,33,34
64877,536044,36,10,9
22161,15245239,45,24,23
4688,547602,109,22,23
4689,1032023,66,17,19
69735,649376,23,3,0
4691,252358,22,1,1
18338,81284,13,1,1
69733,1448767,52,13,13
4693,2042125,69,23,23
74559,2516462,36,10,11
43184,597742,66,13,14
64833,3478586,38,23,23
22179,153335,12,1,1
60534,5384229,43,3,4
60537,4844497,44,3,3
43193,945270,39,13,14
60536,4883019,29,14,13
60539,9306064,56,22,18
43197,1181955,46,19,20
43169,662819,67,11,12
43168,828027,47,10,11
35525,293108,26,1,1
43176,416363,46,8,8
22201,5462087,53,5,5
65919,2271319,76,23,24
22207,7142242,81,21,20
22206,19682660,89,35,30
22204,4811918,33,3,3
22093,1457321,54,11,11
12524,324147,17,5,5
18301,449072,42,10,10
12525,1013232,45,14,12
57292,1321595,93,13,15
35388,1448988,39,8,7
12520,1564260,46,22,23
60571,2147588,73,22,22
35385,4376614,97,36,36
12522,799397,59,11,13
12523,959065,16,6,7
43095,6497340,55,22,24
35380,2494427,22,8,10
83270,1,10,0,0
60560,8485175,89,25,28
22108,905518,66,8,8
8653,754793,29,9,7
60559,3626333,51,24,27
18285,531200,46,7,8
18286,80144,2,0,0
60556,4085203,91,12,11
65944,5917188,77,24,24
60555,19128771,79,29,26
60553,5399372,94,27,26
18283,542289,52,10,8
60552,6713657,85,25,26
60551,7150511,58,33,34
60549,15187136,45,16,17
65943,1725648,100,28,28
65942,7135131,76,28,27
22127,69320,6,0,0
83304,1,1,0,0
83306,130330,5,4,4
18267,1232217,71,12,11
29706,2126375,65,21,21
52953,4432318,57,33,33
22121,106800,7,1,1
83310,525565,54,6,5
8688,3015975,89,28,28
18252,1749439,79,20,21
35336,816072,47,14,14
39736,5137275,37,20,19
39738,2701146,82,12,13
29719,1330237,43,7,8
12499,9427197,96,30,27
29715,2238083,50,21,21
12498,9384320,62,27,27
29712,1306095,38,7,7
12497,4895485,33,14,13
22129,309018,10,5,5
47401,2003759,67,12,12
60639,129332,18,3,3
35453,69466,2,0,0
60637,1158785,42,31,29
57219,3064209,23,19,18
57220,851053,9,9,9
57221,2755331,32,11,11
35434,1301764,51,16,15
52907,358731,39,5,5
12472,656567,59,9,11
1002,1774040,98,23,24
25932,1999194,68,12,11
1005,1067012,48,12,12
12477,667760,63,9,9
993,945978,12,2,2
999,2118347,23,4,5
35417,2901423,47,9,8
52888,614276,42,2,3
12427,382779,25,10,10
64969,1895467,40,15,16
35419,3643870,15,12,12
35418,3535331,74,14,13
52891,1626229,39,9,10
64971,4929034,33,14,14
64974,863494,15,13,13
52887,5224172,46,30,28
64985,243194,15,13,13
64984,4838449,38,3,3
64987,6382286,57,29,30
57274,1120183,40,12,12
60653,632326,60,9,8
8620,1458515,59,12,12
60654,1351462,108,22,21
35396,3529641,14,8,9
64983,3411580,34,31,31
82619,594573,22,5,4
51469,49157,9,2,2
51467,3,2,0,0
82611,104661,4,1,1
16517,3311246,96,34,33
55350,3707349,110,30,33
9766,69473,50,21,21
166319,567891,39,6,6
82615,69555,7,0,0
67190,2561561,34,25,25
82613,63562,9,0,0
9762,1859999,56,11,12
36318,45209,4,3,2
64078,28787,8,3,3
36317,45216,4,3,2
16539,340943,46,10,10
9781,1374111,75,30,28
51479,192587,4,0,0
166331,1959227,23,15,15
48772,9653086,80,30,27
