FACILITY_ID,TOWER_ID,FAC_CALLSIGN,FAC_CHANNEL,FAC_SERVICE,COUNTY,STATE,LOCATION_TYPE,LATITUDE,LONGITUDE,COORD_RADIUS,END_OF_LINE                                                                                            
     999354,     30230,WQIN457             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8572222,76.9483333,            ,;              
     999355,     30230,WQIN458             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.8572222,76.9483333,            ,;              
     999356,     30225,WQIN458             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.8875833,76.8566389,            ,;              
     999357,     30238,WQIN458             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.8077778,76.9836111,            ,;              
     999358,     30259,WQIN458             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.7472222,76.9477778,            ,;              
     999359,     30051,WQIN459             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,40.0019444,76.6952778,            ,;              
     999360,     30212,WQIN459             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.9405556,76.6977778,            ,;              
     999361,     30222,WQIN459             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.9050833,76.5825556,            ,;              
     999362,     30185,WQIN459             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.9991667,76.5422222,            ,;              
     999363,     30257,WQIN460             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7619167,76.4817778,            ,;              
     999364,     30245,WQIN460             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7959444,76.7398056,            ,;              
     999365,     30253,WQIN460             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7549167,76.6624167,            ,;              
     999366,     30236,WQIN460             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8316667,76.6002778,            ,;              
     999367,     30035,WQIN461             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,40.1022222,76.9722222,            ,;              
     999368,     30037,WQIN461             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,40.1036389,76.8886389,            ,;              
     999369,     30024,WQIN461             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,40.1919444,76.8672222,            ,;              
     999370,     30028,WQIN461             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,40.1696111,76.8269444,            ,;              
     999371,     30201,WQIN462             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9636111,   76.7275,            ,;              
     999372,     30051,WQIN462             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0019444,76.6952778,            ,;              
     999373,     30185,WQIN462             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9991667,76.5422222,            ,;              
     999374,     30236,WQIN463             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.8316667,76.6002778,            ,;              
     999375,     30257,WQIN463             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.7619167,76.4817778,            ,;              
     999376,     30245,WQIN463             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.7959444,76.7398056,            ,;              
     999377,     30251,WQIN463             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.7728889,76.3690833,            ,;              
     999378,     30253,WQIN463             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.7549167,76.6624167,            ,;              
     999379,     30254,WQIN463             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.7633333,76.5894444,            ,;              
     999380,     30252,WQIN464             ,         19,YW   ,LANCASTER                                         ,PA                                                ,F    ,39.7708333,     76.24,            ,;              
     999381,     30184,WQIN465             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.9930556,76.6522222,            ,;              
     999382,     30201,WQIN465             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.9636111,   76.7275,            ,;              
     999383,     30196,WQIN465             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,39.9508333,76.7813889,            ,;              
     999384,     30045,WQIN465             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,40.0213889,    76.755,            ,;              
     999385,     30042,WQIN465             ,         19,YW   ,YORK                                              ,PA                                                ,F    ,   40.0475,76.7283333,            ,;              
     999386,     30205,WQIN466             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9655556,76.6891667,            ,;              
     999387,     30207,WQIN466             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9511111,   76.6075,            ,;              
     999388,     30199,WQIN466             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9538889,76.7583333,            ,;              
     999389,     30220,WQIN466             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9097222,76.6344444,            ,;              
     999390,     30203,WQIN466             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9618611,    76.725,            ,;              
     999391,     30200,WQIN466             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9606667,76.7339444,            ,;              
     999392,     30234,WQIN469             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8287222,76.8971667,            ,;              
     999393,     30226,WQIN469             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8991667,76.6079167,            ,;              
     999394,     30187,WQIN469             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9769444,76.7969444,            ,;              
     999395,     30249,WQIN469             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7694444,76.6813889,            ,;              
     999396,     30182,WQIN469             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9933333,76.7052778,            ,;              
