FACILITY_ID,TOWER_ID,FAC_CALLSIGN,FAC_CHANNEL,FAC_SERVICE,FAC_ZONE,DMA_STATE,DMA_CITY,COUNTRY,SERVICE_POPULATION,LATITUDE,LONGITUDE,NETWORK_AFFIL,STATION_STATUS,STATION_FLAG,,,END_OF_LINE                                                                                                                                                                                               
96954,50359,CKXTV2              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.2805556,100.986667,                                                                                                    ,                    ,C                   ,,,;
96956,50370,CKNDTV              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.7708333,97.5097222,                                                                                                    ,                    ,C                   ,,,;
96957,50669,CKLTTV              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.4775,66.2338889,                                                                                                    ,                    ,C                   ,,,;
96965,50690,CJCBTV2             ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.5458333,62.2608333,                                                                                                    ,                    ,C                   ,,,;
96966,50735,C009696             ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,44.3880556,64.6797222,                                                                                                    ,                    ,C                   ,,,;
96967,50384,CBWDT               ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.7636111,92.6811111,                                                                                                    ,                    ,C                   ,,,;
96970,50626,CBOFT               ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.5030556,75.8505556,                                                                                                    ,                    ,C                   ,,,;
96973,50529,CKNCTV              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,46.5111111,81.0066667,                                                                                                    ,                    ,C                   ,,,;
96974,50421,CICOTV9             ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.5505556,89.2236111,                                                                                                    ,                    ,C                   ,,,;
96975,50432,CBLFT3              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.47,81.2972222,                                                                                                    ,                    ,C                   ,,,;
96976,50756,CFTOTV              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,43.6425,79.3875,                                                                                                    ,                    ,C                   ,,,;
96977,50427,CBLAT3              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.0202778,84.75,                                                                                                    ,                    ,C                   ,,,;
96978,50770,CBET                ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,42.3163889,83.0494444,                                                                                                    ,                    ,C                   ,,,;
96979,50477,CBVPTV              ,14,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.5272222,64.2444444,                                                                                                    ,                    ,C                   ,,,;
96980,50591,CBAFT6              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,46.8927778,64.1488889,                                                                                                    ,                    ,C                   ,,,;
96984,50493,CBMET               ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,47.4236111,72.7636111,                                                                                                    ,                    ,C                   ,,,;
96985,50500,CIMTTV              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,47.5841667,69.3694444,                                                                                                    ,                    ,C                   ,,,;
96987,50253,CIVGTV              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.1716667,66.7386111,                                                                                                    ,                    ,C                   ,,,;
96992,50071,CIPATV              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,53.0575,105.842222,                                                                                                    ,                    ,C                   ,,,;
96993,50223,CBKT                ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.4827778,104.505556,                                                                                                    ,                    ,C                   ,,,;
96994,50143,CBKST1              ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,51.6802778,108.715,                                                                                                    ,                    ,C                   ,,,;
97006,50011,CBDDT               ,7,TV   , ,                                                  ,                                                  ,CA                  ,                  ,64.0580556,139.413611,                                                                                                    ,                    ,C                   ,,,;
97009,50765,CJCHTV7             ,40,TV   , ,                                                  ,                                                  ,CA                  ,                  ,43.9155556,66.0883333,                                                                                                    ,                    ,C                   ,,,;
97020,50777,CBLFT10             ,48,TV   , ,                                                  ,                                                  ,CA                  ,                  ,42.45,82.0833333,                                                                                                    ,                    ,C                   ,,,;
97031,50078,CFRNTV1             ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,52.5225,114.878056,                                                                                                    ,                    ,C                   ,,,;
97033,50468,CBVATV              ,18,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.0544444,66.455,                                                                                                    ,                    ,C                   ,,,;
97042,50094,CKRDTV1             ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,52.1561111,111.134722,                                                                                                    ,                    ,C                   ,,,;
97043,50326,CBRT6               ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.7405556,112.801667,                                                                                                    ,                    ,C                   ,,,;
97044,50310,CBUBT7              ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.4583333,115.629167,                                                                                                    ,                    ,C                   ,,,;
97045,50283,CHKLTV1             ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.6594444,119.571667,                                                                                                    ,                    ,C                   ,,,;
97046,50411,CKVUTV              ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.7536111,123.490278,                                                                                                    ,                    ,C                   ,,,;
97048,50168,CBWGT               ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,51.0805556,97.6486111,                                                                                                    ,                    ,C                   ,,,;
97049,50680,CJCHTV1             ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.2033333,64.4016667,                                                                                                    ,                    ,C                   ,,,;
97051,50393,CITOTV1             ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.3911111,82.3577778,                                                                                                    ,                    ,C                   ,,,;
97052,50784,CFPLTV              ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,42.9541667,81.2661111,                                                                                                    ,                    ,C                   ,,,;
97053,50541,CKNYTV              ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,46.0633333,79.4341667,                                                                                                    ,                    ,C                   ,,,;
97054,50171,CBWET               ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,51.0216667,93.8288889,                                                                                                    ,                    ,C                   ,,,;
97056,50644,CFTMTV              ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.5055556,73.5922222,                                                                                                    ,                    ,C                   ,,,;
97057,50471,CBGAT2              ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.9655556,65.4786111,                                                                                                    ,                    ,C                   ,,,;
97058,50439,CJPMTV1             ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.3888889,72.0894444,                                                                                                    ,                    ,C                   ,,,;
97059,50217,CJFBTV3             ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.7402778,106.909444,                                                                                                    ,                    ,C                   ,,,;
97060,50343,CBKT2               ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.3861111,105.671389,                                                                                                    ,                    ,C                   ,,,;
97061,50155,CICCTV              ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,51.2091667,102.733056,                                                                                                    ,                    ,C                   ,,,;
97065,80165,XHX                 ,10,TV   , ,                                                  ,                                                  ,MX                  ,                  ,25.6697222,100.307222,                                                                                                    ,                    ,C                   ,,,;
97086,50406,CBGAT16             ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.1908333,64.8927778,                                                                                                    ,                    ,C                   ,,,;
97091,50348,CFSSTV              ,3,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.8102778,102.687222,                                                                                                    ,                    ,C                   ,,,;
97092,50464,CBGAT14             ,2,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.1355556,66.1169444,                                                                                                    ,                    ,C                   ,,,;
97099,50206,CBRT5               ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.6863889,112.4525,                                                                                                    ,                    ,C                   ,,,;
97100,50255,CHANTV4             ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.7486111,125.248056,                                                                                                    ,                    ,C                   ,,,;
97101,50312,CBUBT10             ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.7244444,114.863333,                                                                                                    ,                    ,C                   ,,,;
97102,50050,CBUFT3              ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,54.5180556,128.470833,                                                                                                    ,                    ,C                   ,,,;
97103,50302,CBUAT               ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.0908333,117.798611,                                                                                                    ,                    ,C                   ,,,;
97104,50234,CKXTV1              ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.5205556,101.073056,                                                                                                    ,                    ,C                   ,,,;
97107,50243,CBWFT6              ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.6161111,96.38,                                                                                                    ,                    ,C                   ,,,;
97108,50743,CBHT4               ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,44.9247222,62.4986111,                                                                                                    ,                    ,C                   ,,,;
97109,50764,CBHT3               ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,43.9319444,66.1027778,                                                                                                    ,                    ,C                   ,,,;
97110,50760,CHCHTV              ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,43.2075,79.7744444,                                                                                                    ,                    ,C                   ,,,;
97112,50434,CITOTV2             ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.1355556,79.5555556,                                                                                                    ,                    ,C                   ,,,;
97114,50425,CBLAT4              ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.7536111,86.5855556,                                                                                                    ,                    ,C                   ,,,;
97116,50610,CBOFT1              ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.9247222,77.0730556,                                                                                                    ,                    ,C                   ,,,;
97117,50396,CJDGTV3             ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.4555556,78.3311111,                                                                                                    ,                    ,C                   ,,,;
97119,50554,CBFT1               ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,46.2194444,74.5530556,                                                                                                    ,                    ,C                   ,,,;
97120,50565,CBVT                ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,46.8227778,71.4958333,                                                                                                    ,                    ,C                   ,,,;
97122,50454,CFERTV              ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.4672222,68.2147222,                                                                                                    ,                    ,C                   ,,,;
97128,50103,CBKST               ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,52.1744444,106.434444,                                                                                                    ,                    ,C                   ,,,;
97130,80104,XHECH               ,11,TV   , ,                                                  ,                                                  ,MX                  ,                  ,28.1536111,105.448333,                                                                                                    ,                    ,C                   ,,,;
97132,80047,XEDI00              ,11,TV   , ,                                                  ,                                                  ,MX                  ,                  ,31.74,106.478056,                                                                                                    ,                    ,C                   ,,,;
97134,80154,XHO00               ,11,TV   , ,                                                  ,                                                  ,MX                  ,                  ,25.5388889,103.455,                                                                                                    ,                    ,C                   ,,,;
97141,50657,CBMT3               ,50,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.3966667,71.8316667,                                                                                                    ,                    ,C                   ,,,;
97147,50219,CFRETV              ,11,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.5955556,105.069167,                                                                                                    ,                    ,C                   ,,,;
97165,50128,CIANTV              ,13,TV   , ,                                                  ,                                                  ,CA                  ,                  ,51.065,114.213056,                                                                                                    ,                    ,C                   ,,,;
97179,50619,CBOT4               ,51,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.2269444,77.875,                                                                                                    ,                    ,C                   ,,,;
97185,50432,CICATV7             ,7,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.47,81.2972222,                                                                                                    ,                    ,C                   ,,,;
97187,50133,CFCNTV1             ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,51.5627778,112.328889,                                                                                                    ,                    ,C                   ,,,;
97188,50333,CBCATV1             ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.5663889,111.131111,                                                                                                    ,                    ,C                   ,,,;
97189,50201,CBUBT1              ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.1947222,115.823611,                                                                                                    ,                    ,C                   ,,,;
97190,50196,CHKLTV2             ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.2827778,119.319167,                                                                                                    ,                    ,C                   ,,,;
97191,50180,CBUT13              ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.1694444,126.568889,                                                                                                    ,                    ,C                   ,,,;
97192,50159,CKYDTV              ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,51.4705556,100.719444,                                                                                                    ,                    ,C                   ,,,;
97195,50509,CKAMTV              ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,47.4552778,66.4186111,                                                                                                    ,                    ,C                   ,,,;
97196,50738,CBHT1               ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,44.0663889,64.7166667,                                                                                                    ,                    ,C                   ,,,;
97197,50525,CBLFT6              ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,46.3891667,82.6183333,                                                                                                    ,                    ,C                   ,,,;
97198,50394,CBLFT4              ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.2966667,82.1886111,                                                                                                    ,                    ,C                   ,,,;
97199,50694,CICATV1             ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,44.4441667,81.0438889,                                                                                                    ,                    ,C                   ,,,;
97200,50708,CHEXTV              ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,44.3280556,78.2997222,                                                                                                    ,                    ,C                   ,,,;
97201,50248,CBWDT1              ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.0752778,92.0277778,                                                                                                    ,                    ,C                   ,,,;
97202,50421,CBLFT18             ,12,TV   , ,                                                  ,                                                  ,CA                  ,                  ,48.5505556,89.2236111,                                                                                                    ,                    ,C                   ,,,;
