CO,14,30,87,2566,25382,33722,35388,38214,50170,50182,66222,66413,67999,72358,72359,77480,86532,166332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,14,30,125,126,14040,20476,24514,24515,29455,35037,35883,35991,37101,38375,40250,47903,52579,57219,59014,63158,63166,63182,67532,68581,68695,166331,166510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,14,30,126,14040,20476,24514,24515,29455,35037,35883,35991,37101,38375,40250,47903,52579,57219,59014,63158,63166,67532,68581,68695,166331,166510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,14,30,131,4108,5802,6601,6744,7726,7727,9881,10073,10521,10549,11125,11909,12171,12855,16788,16993,24582,29712,29719,35576,39241,41225,41375,51988,52240,53116,53465,53819,54940,54948,55454,60018,60559,61251,61702,63901,64588,67602,69338,69440,70413,70415,70651,71236,71238,71293,72076,74112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,14,30,144,308,6669,6673,8564,9754,9781,12522,12895,13200,17433,17830,22201,23394,23422,24436,24570,26304,27300,28324,31870,33691,33770,33818,34606,35867,35881,35882,35909,35910,35911,35912,35913,35916,35918,35920,35921,35923,35994,38562,48836,48837,49324,49330,51517,51518,51569,53117,53847,56528,58559,58835,59988,60384,60464,60537,61173,64877,64969,64984,68538,69531,69618,70492,73101,125710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,14,30,146,411,3646,3661,4301,4329,6837,6838,7908,9382,10253,11204,13960,13989,13991,18301,19431,20030,20426,21158,21432,22108,24914,25040,25065,25067,25078,25173,25684,28199,28462,28476,29292,34167,34181,34195,34204,34211,34894,34895,36117,37102,38464,39270,39738,40877,41397,41458,41671,41674,41892,42124,46979,50781,51886,53939,55315,56523,56526,56549,59438,61039,61216,64017,65247,65666,65690,66185,66536,67869,68007,69544,70138,70161,70416,70428,70852,71217,71425,73155,73203,73905,73983,74007,74137,,,,,,,,,,,,,,,,,,,,
CO,14,30,147,2650,3072,3978,6048,6476,7692,9610,9766,10153,12499,13594,13602,13933,14050,14322,14682,18783,20818,22206,22591,25453,25456,25682,25683,28480,30429,30577,33081,38336,39656,39664,41436,41493,43952,46728,47535,48406,48413,48465,48477,48481,50063,50780,51284,51568,51864,51980,53065,53115,56092,57476,57837,60551,60553,60555,60654,63153,64690,64833,65684,67866,67993,68135,68137,69271,69328,69943,69944,70158,70184,70493,72096,72098,72099,72145,73206,73207,73238,73263,73264,73318,73333,73344,73375,73879,73982,74156,74170,74197,74215,74419,74422,84088,,,,,,,,,,,
CO,14,30,208,267,269,415,4693,7622,7780,7933,8532,9999,10213,10259,10758,13924,13929,18753,19707,20287,22207,23338,23341,25045,25454,27772,30303,30576,40619,41314,43870,47904,49421,49439,49711,50141,51567,52075,53716,54176,55350,59441,59442,60552,60556,61216,64547,65681,65749,65943,66219,66378,68393,68394,68395,68396,68400,68401,68408,69532,70491,71676,71905,71928,72062,72313,72958,73083,73120,73153,73195,73875,73907,73910,74091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,14,30,257,267,269,417,4685,4693,7622,8532,11118,13924,18753,20287,21158,23341,25454,36912,40619,41314,43870,49421,49711,50141,50147,50781,53716,56549,59441,60556,61216,65130,65681,66185,66219,66804,67893,68393,68394,68395,68396,68401,68408,68409,70491,71217,71280,71657,71676,72062,72958,73120,73153,73189,73195,73875,73907,73910,74137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,14,30,267,269,417,4685,4693,7622,7780,8532,11027,11118,13924,13929,18753,19707,20287,21158,23341,25045,25454,36912,40619,41314,43870,49421,49439,49711,50141,50147,50781,53716,54176,56549,59441,60556,61216,65130,65681,65749,65943,66185,66219,66378,66804,67893,68393,68394,68395,68396,68400,68401,68408,68409,70491,71217,71280,71657,71676,72958,73120,73153,73189,73195,73875,73907,73910,74137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,14,30,269,417,4685,4688,4693,7622,7780,9999,10019,10213,10259,11027,11118,13924,13929,18753,19707,20287,21158,22207,23338,23341,25045,25454,27772,30576,36912,40619,41314,43870,47904,49421,49439,49711,50141,50147,50781,51567,53716,54176,55350,56549,59441,60556,61216,65130,65681,65749,65943,66185,66219,66378,67893,68393,68394,68395,68396,68400,68401,68409,69532,70491,71217,71280,71657,71676,71905,72062,72313,72958,73083,73120,73153,73189,73195,73875,73907,73910,74091,74137,,,,,,,,,,,,,,,,,,,,,,,,,
