FACILITY_ID,FAC_CHANNEL,COUNTRY,TOWER_ID,SERVICE_POPULATION,
178684,25,MX                  ,70111,                  ,
178695,13,CA                  ,40087,                  ,
178697,34,CA                  ,40083,                  ,
178698,15,CA                  ,40276,                  ,
178699,25,CA                  ,40276,                  ,
178700,31,CA                  ,40276,                  ,
178701,34,CA                  ,40276,                  ,
178702,10,CA                  ,40058,                  ,
178705,39,CA                  ,40295,                  ,
178706,29,CA                  ,40166,                  ,
178707,30,CA                  ,40166,                  ,
178708,47,CA                  ,40166,                  ,
178709,3,CA                  ,40279,                  ,
178745,5,CA                  ,40279,                  ,
178746,6,CA                  ,40279,                  ,
178747,9,CA                  ,40279,                  ,
178748,18,CA                  ,40279,                  ,
178749,20,CA                  ,40277,                  ,
178750,22,CA                  ,40279,                  ,
178751,32,CA                  ,40278,                  ,
178752,40,CA                  ,40277,                  ,
178753,47,CA                  ,40278,                  ,
178754,51,CA                  ,40278,                  ,
178755,5,CA                  ,50127,                  ,
178756,32,CA                  ,50131,                  ,
178757,2,CA                  ,40085,                  ,
178758,4,CA                  ,40089,                  ,
178759,5,CA                  ,40087,                  ,
178760,9,CA                  ,40087,                  ,
178761,15,CA                  ,40087,                  ,
178762,16,CA                  ,40087,                  ,
178763,19,CA                  ,40090,                  ,
178764,21,CA                  ,40087,                  ,
178765,23,CA                  ,40090,                  ,
178766,25,CA                  ,40087,                  ,
178768,29,CA                  ,40089,                  ,
178770,38,CA                  ,40086,                  ,
178771,41,CA                  ,40085,                  ,
178772,43,CA                  ,40088,                  ,
178773,44,CA                  ,40088,                  ,
178774,49,CA                  ,40087,                  ,
178775,50,CA                  ,40090,                  ,
178776,51,CA                  ,40087,                  ,
178777,16,CA                  ,40283,                  ,
178778,22,CA                  ,40283,                  ,
178779,12,CA                  ,40164,                  ,
178780,36,CA                  ,40164,                  ,
178781,30,CA                  ,40058,                  ,
178782,41,CA                  ,40059,                  ,
178793,4,CA                  ,40293,                  ,
178794,9,CA                  ,40293,                  ,
178795,14,CA                  ,40294,                  ,
178796,20,CA                  ,40293,                  ,
178797,24,CA                  ,40294,                  ,
178798,12,CA                  ,40092,                  ,
178799,17,CA                  ,40092,                  ,
178800,18,CA                  ,40092,                  ,
178801,32,CA                  ,40093,                  ,
178802,33,CA                  ,40093,                  ,
178803,38,CA                  ,40093,                  ,
178804,12,CA                  ,40296,                  ,
178805,15,CA                  ,40296,                  ,
178807,31,CA                  ,40297,                  ,
178808,32,CA                  ,40297,                  ,
178809,35,CA                  ,40281,                  ,
178810,38,CA                  ,40281,                  ,
178811,44,CA                  ,40281,                  ,
178812,24,CA                  ,40094,                  ,
178813,47,CA                  ,40094,                  ,
178814,35,CA                  ,40162,                  ,
178815,42,CA                  ,40053,                  ,
178889,44,CA                  ,50126,                  ,
178891,40,CA                  ,50561,                  ,
178914,17,CA                  ,50324,                  ,
178915,2,CA                  ,40291,                  ,
178916,7,CA                  ,40286,                  ,
178917,10,CA                  ,40287,                  ,
178920,19,CA                  ,40287,                  ,
178921,23,CA                  ,40287,                  ,
178922,28,CA                  ,40290,                  ,
178923,31,CA                  ,40287,                  ,
178924,33,CA                  ,40286,                  ,
178925,41,CA                  ,40290,                  ,
178926,46,CA                  ,40291,                  ,
178927,50,CA                  ,40290,                  ,
178928,6,CA                  ,40168,                  ,
178929,8,CA                  ,40168,                  ,
178930,21,CA                  ,40170,                  ,
178931,22,CA                  ,40172,                  ,
178932,34,CA                  ,40172,                  ,
178933,36,CA                  ,40168,                  ,
178934,48,CA                  ,40170,                  ,
178935,50,CA                  ,40169,                  ,
178936,51,CA                  ,40170,                  ,
178937,30,CA                  ,40084,                  ,
178938,2,CA                  ,40096,                  ,
178939,5,CA                  ,40096,                  ,
178940,22,CA                  ,40095,                  ,
178941,23,CA                  ,40095,                  ,
