facility_id,population,category,dma_rank,p_open,coin,value_per_pop,noise
55305,6457571.0,1,0.7093572754342108,484634700.0,0.9649292697967965,116.22851400792935,4.788037067560964
60560,8476706.0,1,0.7093572754342108,526236300.0,0.9649292697967965,116.22851400792935,4.788037067560964
23142,7124713.0,1,0.7093572754342108,502920000.0,0.9649292697967965,116.22851400792935,4.788037067560964
28480,8951628.0,1,0.7093572754342108,553251600.0,0.9649292697967965,116.22851400792935,4.788037067560964
259,1788536.0,1,0.578934887410973,209801700.0,0.9649292697967965,116.22851400792935,4.788037067560964
68396,1250131.0,1,0.578934887410973,194539500.0,0.9649292697967965,116.22851400792935,4.788037067560964
68405,2004147.0,1,0.578934887410973,240034500.0,0.9649292697967965,116.22851400792935,4.788037067560964
68400,1198058.0,1,0.578934887410973,172469700.0,0.9649292697967965,116.22851400792935,4.788037067560964
269,1026703.0,1,0.578934887410973,133749000.0,0.9649292697967965,116.22851400792935,4.788037067560964
68408,285895.0,1,0.578934887410973,82760400.0,0.9649292697967965,116.22851400792935,4.788037067560964
3978,4866880.0,0,0.6722929352688974,369778500.0,0.9895619970785762,550.3505101621704,2.839878402917667
70184,1162356.0,1,0.6722929352688974,157509000.0,0.9649292697967965,116.22851400792935,4.788037067560964
56092,3099884.0,1,0.6722929352688974,277425900.0,0.9649292697967965,116.22851400792935,4.788037067560964
4110,2495683.0,1,0.21172238347749275,230796900.0,0.9649292697967965,116.22851400792935,4.788037067560964
26602,1175836.0,1,0.21172238347749275,158418900.0,0.9649292697967965,116.22851400792935,4.788037067560964
39887,3486080.0,0,0.21172238347749275,292906800.0,0.9895619970785762,550.3505101621704,2.839878402917667
58341,1705579.0,0,0.21172238347749275,197493300.0,0.9895619970785762,550.3505101621704,2.839878402917667
4077,2326339.0,1,0.21172238347749275,219391200.0,0.9649292697967965,116.22851400792935,4.788037067560964
28954,2131606.0,1,0.21172238347749275,199813500.0,0.9649292697967965,116.22851400792935,4.788037067560964
21245,1076145.0,0,0.6032000002305357,181788300.0,0.9895619970785762,550.3505101621704,2.839878402917667
22485,360493.0,1,0.6032000002305357,80725500.0,0.9649292697967965,116.22851400792935,4.788037067560964
50782,3200173.0,0,0.6032000002305357,323335800.0,0.9895619970785762,550.3505101621704,2.839878402917667
10133,2678040.0,1,0.6032000002305357,290813400.0,0.9649292697967965,116.22851400792935,4.788037067560964
41095,1193706.0,1,0.6032000002305357,155493000.0,0.9649292697967965,116.22851400792935,4.788037067560964
10897,1634843.0,0,0.664997213504202,204104700.0,0.9895619970785762,550.3505101621704,2.839878402917667
15507,876858.0,1,0.5123212459218071,141606000.0,0.9649292697967965,116.22851400792935,4.788037067560964
4689,1104676.0,0,0.5633131147817712,189970200.0,0.9895619970785762,550.3505101621704,2.839878402917667
66321,706466.0,1,0.7472588249618174,91152000.0,0.9649292697967965,116.22851400792935,4.788037067560964
