FacID,Volume
1328,1000000
9610,1000000
168834,1000000
67866,1000000
13594,1000000
30429,1000000
60553,1000000
60555,1000000
86537,1000000
38336,1000000
73206,1000000
43952,1000000
14322,1000000
73207,1000000
47535,1000000
18795,1000000
48457,1000000
48477,1000000
73333,1000000
6048,1000000
20818,1000000
22206,1000000
73881,1000000
73356,1000000
74156,1000000
67993,1000000
70158,1000000
74197,1000000
74215,1000000
70493,1000000
282,1000000
29234,1000000
56384,1000000
21422,1000000
9628,1000000
13058,1000000
33742,1000000
24518,1000000
60549,1000000
60026,1000000
63865,1000000
14000,1000000
38430,1000000
35123,1000000
47906,1000000
3167,1000000
167309,1000000
4328,1000000
58978,1000000
22161,1000000
35608,1000000
191101,1000000
36717,1000000
67884,1000000
35670,1000000
22208,1000000
58795,1000000
19783,1000000
16729,1000000
83825,1000000
26231,1000000
55083,1000000
71111,1000000
9617,1000000
71428,1000000
10981,1000000
66978,1000000
22211,1000000
12498,1000000
72115,1000000
32334,1000000
189058,1000000
73226,1000000
47905,1000000
168662,1000000
35101,1000000
35092,1000000
168237,1000000
48772,1000000
70119,1000000
10802,1000000
71425,1000000
998,1000000
60539,1000000
12279,1000000
49803,1000000
1283,1000000
25453,1000000
189358,1000000
60850,1000000
63153,1000000
72335,1000000
39884,1000000
74216,1000000
7623,1000000
72338,1000000
36989,1000000
9739,1000000
61111,1000000
48481,1000000
48465,1000000
72278,1000000
73879,1000000
74464,1000000
51984,1000000
12499,1000000
167543,1000000
8616,1000000
191822,1000000
191340,1000000
55305,1000000
51568,1000000
60560,1000000
23142,1000000
28480,1000000
26950,1000000
17433,1000000
22201,1000000
17037,1000000
33770,1000000
49326,1000000
67910,1000000
49324,1000000
29015,1000000
16930,1000000
73701,1000000
68834,1000000
60534,1000000
23422,1000000
51517,1000000
42359,1000000
5319,1000000
35841,1000000
49330,1000000
35994,1000000
72054,1000000
37689,1000000
69619,1000000
71586,1000000
58912,1000000
18148,1000000
33778,1000000
34440,1000000
70900,1000000
51429,1000000
52887,1000000
34470,1000000
34564,1000000
22644,1000000
43095,1000000
35280,1000000
51189,1000000
25452,1000000
35500,1000000
35663,1000000
8378,1000000
57945,1000000
65526,1000000
64987,1000000
49153,1000000
21533,1000000
37511,1000000
35703,1000000
57907,1000000
57905,1000000
168449,1000000
51567,1000000
30576,1000000
65670,1000000
69532,1000000
40626,1000000
25045,1000000
27772,1000000
10259,1000000
1051,1000000
189357,1000000
38437,1000000
9999,1000000
10019,1000000
74091,1000000
47904,1000000
22207,1000000
65593,1000000
65943,1000000
23264,1000000
50347,1000000
14682,1000000
7692,1000000
25456,1000000
65684,1000000
6476,1000000
69271,1000000
69237,1000000
6463,1000000
64833,1000000
72099,1000000
72098,1000000
72145,1000000
73238,1000000
41436,1000000
73292,1000000
51864,1000000
48406,1000000
73982,1000000
30577,1000000
60551,1000000
23671,1000000
9766,1000000
18783,1000000
70689,1000000
168812,1000000
13206,1000000
22819,1000000
711,1000000
72120,1000000
63329,1000000
23948,1000000
68058,1000000
55108,1000000
35418,1000000
4190,1000000
64033,1000000
51969,1000000
23960,1000000
35090,1000000
6900,1000000
48813,1000000
51163,1000000
168094,1000000
12895,1000000
60537,1000000
34529,1000000
23394,1000000
24436,1000000
53117,1000000
58835,1000000
22204,1000000
28324,1000000
64984,1000000
35675,1000000
51569,1000000
70492,1000000
66790,1000000
69269,1000000
13200,1000000
53847,1000000
31870,1000000
69531,1000000
55106,1000000
11125,1000000
21808,1000000
64592,1000000
64588,1000000
60559,1000000
53819,1000000
74559,1000000
11559,1000000
74112,1000000
11290,1000000
4108,1000000
68569,1000000
69338,1000000
16788,1000000
61251,1000000
57538,1000000
6601,1000000
63901,1000000
2130,1000000
2728,1000000
7143,1000000
72618,1000000
35811,1000000
83491,1000000
2739,1000000
41517,1000000
30932,1000000
24753,1000000
24749,1000000
59440,1000000
67868,1000000
73764,1000000
41223,1000000
35486,1000000
26655,1000000
35587,1000000
81458,1000000
40993,1000000
29464,1000000
35705,1000000
68886,1000000
25722,1000000
455,1000000
53114,1000000
68444,1000000
73123,1000000
51570,1000000
168471,1000000
74211,1000000
5800,1000000
16817,1000000
72123,1000000
10267,1000000
53586,1000000
62469,1000000
62468,1000000
33894,1000000
33749,1000000
49264,1000000
34847,1000000
66781,1000000
21656,1000000
35396,1000000
23428,1000000
67950,1000000
4624,1000000
35862,1000000
35419,1000000
56852,1000000
69571,1000000
67002,1000000
23079,1000000
49579,1000000
49578,1000000
9632,1000000
9640,1000000
83714,1000000
68883,1000000
35907,1000000
35585,1000000
35584,1000000
35843,1000000
28010,1000000
68594,1000000
68597,1000000
71549,1000000
9629,1000000
11913,1000000
18793,1000000
36395,1000000
60536,1000000
12497,1000000
4352,1000000
9425,1000000
47902,1000000
27387,1000000
67971,1000000
4366,1000000
60165,1000000
9614,1000000
66358,1000000
73230,1000000
13456,1000000
53113,1000000
30129,1000000
48608,1000000
29547,1000000
72053,1000000
64971,1000000
10203,1000000
63840,1000000
63154,1000000
23179,1000000
22685,1000000
63158,1000000
24514,1000000
47903,1000000
38375,1000000
126,1000000
37101,1000000
125,1000000
40875,1000000
166510,1000000
68695,1000000
18287,1000000
29455,1000000
70578,1000000
14040,1000000
20476,1000000
20373,1000000
47971,1000000
168750,1000000
57219,1000000
47996,1000000
68581,1000000
23074,1000000
35883,1000000
10032,1000000
41074,1000000
41070,1000000
72958,1000000
67893,1000000
49421,1000000
59441,1000000
11027,1000000
73150,1000000
73195,1000000
41893,1000000
41892,1000000
39746,1000000
60556,1000000
43870,1000000
8532,1000000
18753,1000000
70491,1000000
60018,1000000
12171,1000000
41375,1000000
6744,1000000
25738,1000000
72076,1000000
10521,1000000
24582,1000000
53465,1000000
61702,1000000
71293,1000000
71238,1000000
41225,1000000
67602,1000000
5802,1000000
54940,1000000
10549,1000000
55454,1000000
9881,1000000
10073,1000000
12855,1000000
131,1000000
70415,1000000
334,1000000
4939,1000000
2424,1000000
33875,1000000
52891,1000000
51499,1000000
18736,1000000
56550,1000000
10242,1000000
52953,1000000
20871,1000000
10205,1000000
58609,1000000
35855,1000000
25048,1000000
190156,1000000
56524,1000000
9375,1000000
62182,1000000
70034,1000000
48525,1000000
35417,1000000
46981,1000000
35693,1000000
66983,1000000
66996,1000000
37238,1000000
40861,1000000
57221,1000000
67022,1000000
12793,1000000
30826,1000000
49157,1000000
32326,1000000
70097,1000000
65919,1000000
73152,1000000
60888,1000000
20624,1000000
61009,1000000
74070,1000000
54983,1000000
10645,1000000
69114,1000000
69124,1000000
25454,1000000
259,1000000
68395,1000000
68396,1000000
68405,1000000
40619,1000000
41314,1000000
68393,1000000
68407,1000000
68401,1000000
68394,1000000
7622,1000000
13924,1000000
68400,1000000
69880,1000000
73875,1000000
73907,1000000
73910,1000000
41315,1000000
269,1000000
65681,1000000
68408,1000000
257,1000000
68409,1000000
267,1000000
167799,1000000
21649,1000000
34874,1000000
71078,1000000
47707,1000000
35380,1000000
50589,1000000
71079,1000000
71069,1000000
71070,1000000
71074,1000000
71080,1000000
35460,1000000
50633,1000000
5801,1000000
10192,1000000
56971,1000000
50592,1000000
81447,1000000
71089,1000000
64400,1000000
21245,1000000
22485,1000000
168101,1000000
73205,1000000
50782,1000000
8688,1000000
10133,1000000
64611,1000000
54963,1000000
20590,1000000
8617,1000000
