DMA Rank,DMA1,Facility ID,Call Sign,Channel,Facility Service,Interference2,Interference -Free Population,Volume3,Scaled Volume4,Go Off-Air,Move to Low VHF,Move to High VHF
2,"Los Angeles, CA",14000,KJLA,49,DT,92," 16,210,613 ",38618,633247,"$569,922,300 ","$427,441,725 ","$227,968,920 "
2,"Los Angeles, CA",38430,KLCS,41,DT,88," 15,712,525 ",37185,609738,"$548,764,200 ","$411,573,150 ","$219,505,680 "
2,"Los Angeles, CA",35123,KMEX-DT,34,DT,82," 15,642,463 ",35815,587271,"$528,543,900 ","$396,407,925 ","$211,417,560 "
2,"Los Angeles, CA",47906,KNBC,36,DT,103," 16,317,415 ",40996,672239,"$605,015,100 ","$453,761,325 ","$242,006,040 "
2,"Los Angeles, CA",3167,KNET-CD,25,DC,89," 9,734,124 ",29434,482639,"$434,375,100 ","$325,781,325 ","$173,750,040 "
2,"Los Angeles, CA",167309,KNLA-CD,50,DC,56," 13,151,041 ",27138,444993,"$400,493,700 ","$300,370,275 ","$160,197,480 "
2,"Los Angeles, CA",4328,KOCE-TV,48,DT,95," 16,273,921 ",39319,644744,"$580,269,600 ","$435,202,200 ","$232,107,840 "
2,"Los Angeles, CA",58978,KPXN-TV,38,DT,103," 15,083,900 ",39416,646331,"$581,697,900 ","$436,273,425 ","$232,679,160 "
2,"Los Angeles, CA",22161,KRCA,35,DT,92," 16,133,573 ",38526,631740,"$568,566,000 ","$426,424,500 ","$227,426,400 "
2,"Los Angeles, CA",35608,KSCI,18,DT,99," 15,809,822 ",39562,648725,"$583,852,500 ","$437,889,375 ","$233,541,000 "
2,"Los Angeles, CA",191101,KSFV-CD,22,DC,104," 11,801,199 ",35033,574459,"$517,013,100 ","$387,759,825 ","$206,805,240 "
2,"Los Angeles, CA",36717,KSKJ-CD,45,DC,81," 1,654,267 ",11576,189812,"$170,830,800 ","$128,123,100 ","$68,332,320 "
2,"Los Angeles, CA",67884,KTBN-TV,33,DT,90," 15,934,736 ",37870,620973,"$558,875,700 ","$419,156,775 ","$223,550,280 "
2,"Los Angeles, CA",35670,KTLA,31,DT,93," 16,672,537 ",39377,645686,"$581,117,400 ","$435,838,050 ","$232,446,960 "
2,"Los Angeles, CA",22208,KTTV,11,DT,79," 17,503,518 ",37186,609755,"$329,267,700 ","$192,072,825 ",NA
2,"Los Angeles, CA",58795,KVCR-DT,26,DT,126," 14,352,812 ",42526,697321,"$627,588,900 ","$470,691,675 ","$251,035,560 "
2,"Los Angeles, CA",19783,KVEA,39,DT,97," 16,483,514 ",39986,655677,"$590,109,300 ","$442,581,975 ","$236,043,720 "
2,"Los Angeles, CA",16729,KVMD,23,DT,79," 3,664,613 ",17015,279002,"$251,101,800 ","$188,326,350 ","$100,440,720 "
2,"Los Angeles, CA",83825,KVME-TV,20,DT,1," 21,907 ",148,2427,Not Needed,Not Needed,Not Needed
2,"Los Angeles, CA",26231,KWHY-TV,42,DT,80," 15,470,257 ",35180,576863,"$519,176,700 ","$389,382,525 ","$207,670,680 "
2,"Los Angeles, CA",55083,KXLA,51,DT,91," 16,137,711 ",38321,628378,"$565,540,200 ","$424,155,150 ","$226,216,080 "
3,"Chicago, IL",71111,W40CN-D,40,DC,104," 600,797 ",7905,129616,"$116,654,400 ","$87,490,800 ","$46,661,760 "
3,"Chicago, IL",9617,WBBM-TV,12,DT,139," 9,916,778 ",37127,608796,"$328,749,840 ","$191,770,740 ",NA
3,"Chicago, IL",71428,WCIU-TV,27,DT,143," 9,839,866 ",37511,615094,"$553,584,600 ","$415,188,450 ","$221,433,840 "
3,"Chicago, IL",10981,WCPX-TV,43,DT,107," 9,586,418 ",32027,525169,"$472,652,100 ","$354,489,075 ","$189,060,840 "
3,"Chicago, IL",66978,WEDE-CD,34,DC,94," 5,496,968 ",22731,372739,"$335,465,100 ","$251,598,825 ","$134,186,040 "
3,"Chicago, IL",22211,WFLD,31,DT,148," 9,926,166 ",38328,628494,"$565,644,600 ","$424,233,450 ","$226,257,840 "
3,"Chicago, IL",12498,WGBO-DT,38,DT,142," 9,711,874 ",37136,608941,"$548,046,900 ","$411,035,175 ","$219,218,760 "
