auction_id,stage,clearing_target,licensed_spectrum,round,start_time,end_time,base_clock_price,price_decrement_r1,price_decrement_r2,pw_compensation
1001,2,114,90,3,2016-09-14 15:00:00,2016-09-14 17:00:00,771.6375,5,1,""
1001,2,114,90,4,2016-09-15 10:00:00,2016-09-15 12:00:00,733.0556250000001,5,1,""
1001,2,114,90,5,2016-09-15 15:00:00,2016-09-15 17:00:00,696.4028437500001,5,1,""
1001,2,114,90,6,2016-09-16 10:00:00,2016-09-16 12:00:00,661.5827015625001,5,1,""
1001,2,114,90,7,2016-09-16 15:00:00,2016-09-16 17:00:00,628.5035664843751,5,1,""
1001,2,114,90,8,2016-09-19 10:00:00,2016-09-19 12:00:00,597.0783881601564,5,1,""
1001,2,114,90,9,2016-09-19 15:00:00,2016-09-19 17:00:00,567.2244687521485,5,1,""
1001,2,114,90,10,2016-09-20 10:00:00,2016-09-20 12:00:00,538.863245314541,5,1,""
1001,2,114,90,11,2016-09-20 15:00:00,2016-09-20 17:00:00,511.920083048814,5,1,""
1001,2,114,90,12,2016-09-21 10:00:00,2016-09-21 12:00:00,486.3240788963733,5,1,""
1001,2,114,90,13,2016-09-21 15:00:00,2016-09-21 17:00:00,462.00787495155464,5,1,""
1001,2,114,90,14,2016-09-22 10:00:00,2016-09-22 12:00:00,438.9074812039769,5,1,""
1001,2,114,90,15,2016-09-22 15:00:00,2016-09-22 17:00:00,416.96210714377804,5,1,""
1001,2,114,90,16,2016-09-23 10:00:00,2016-09-23 12:00:00,396.11400178658914,5,1,""
1001,2,114,90,17,2016-09-23 15:00:00,2016-09-23 17:00:00,376.3083016972597,5,1,""
1001,2,114,90,18,2016-09-26 10:00:00,2016-09-26 12:00:00,357.4928866123967,5,1,""
1001,2,114,90,19,2016-09-26 15:00:00,2016-09-26 17:00:00,339.6182422817769,5,1,""
1001,2,114,90,20,2016-09-27 10:00:00,2016-09-27 11:00:00,322.63733016768805,5,1,""
1001,2,114,90,21,2016-09-27 13:00:00,2016-09-27 14:00:00,306.50546365930364,5,1,""
1001,2,114,90,22,2016-09-27 16:00:00,2016-09-27 17:00:00,291.18019047633845,5,1,""
1001,2,114,90,23,2016-09-28 10:00:00,2016-09-28 11:00:00,276.6211809525215,5,1,""
1001,2,114,90,24,2016-09-28 13:00:00,2016-09-28 14:00:00,262.79012190489544,5,1,""
1001,2,114,90,25,2016-09-28 16:00:00,2016-09-28 17:00:00,249.65061580965067,5,1,""
1001,2,114,90,26,2016-09-29 10:00:00,2016-09-29 11:00:00,237.16808501916813,5,1,""
1001,2,114,90,27,2016-09-29 13:00:00,2016-09-29 14:00:00,225.30968076820972,5,1,""
1001,2,114,90,28,2016-09-29 16:00:00,2016-09-29 17:00:00,214.04419672979924,5,1,""
1001,2,114,90,29,2016-09-30 10:00:00,2016-09-30 11:00:00,203.34198689330927,5,1,""
1001,2,114,90,30,2016-09-30 13:00:00,2016-09-30 14:00:00,193.1748875486438,5,1,""
1001,2,114,90,31,2016-09-30 16:00:00,2016-09-30 17:00:00,183.5161431712116,5,1,""
1001,2,114,90,32,2016-10-03 10:00:00,2016-10-03 11:00:00,174.34033601265102,5,1,""
